Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543980,Jupiter Life Line Hospitals Limited,JLHL,Jupiter Life Line Hospitals Ltd,Active,B ,10.00,INE682M01012,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
543981,R R KABEL LIMITED,RRKABEL,R R Kabel Ltd,Active,B ,5.00,INE777K01022,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
543983,EMS LIMITED,EMSLIMITED,EMS Ltd,Active,B ,10.00,INE0OV601013,Waste Management,Equity,Utilities,Utilities,Other Utilities,Waste Management
543984,Samhi Hotels Limited,SAMHI,Samhi Hotels Ltd,Active,B ,1.00,INE08U801020,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
543985,ZAGGLE PREPAID OCEAN SERVICES LIMITED,ZAGGLE,Zaggle Prepaid Ocean Services Ltd,Active,B ,1.00,INE07K301024,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
543986,South West Pinnacle Exploration Limited,SOUTHWEST,South West Pinnacle Exploration Ltd,Active,B ,10.00,INE980Y01015,Coal,Equity,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal
543987,Navi Mutual Fund,NAVINIFTY,NAVI NIFTY 50 ETF,Active,B ,10.00,INF959L01HI3, ,Equity,-,-,-,-
543988,Nuvama Wealth Management Limited,NUVAMA,Nuvama Wealth Management Ltd,Active,B ,10.00,INE531F01015,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
543989,Sai Silks (Kalamandir) Limited,KALAMANDIR,Sai Silks (Kalamandir) Ltd,Active,B ,2.00,INE438K01021,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
543990,SIGNATUREGLOBAL (INDIA) LIMITED,SIGNATURE,Signatureglobal (India) Ltd,Active,B ,1.00,INE903U01023,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
543992,YATRA ONLINE LIMITED,YATRA,Yatra Online Ltd,Active,B ,1.00,INE0JR601024,"Tour, Travel Related Services",Equity,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
543994,JSW Infrastructure Limited,JSWINFRA,JSW Infrastructure Ltd,Active,B ,2.00,INE880J01026,Port & Port services,Equity,Services,Services,Transport Infrastructure,Port & Port services
543995,MANOJ VAIBHAV GEMS 'N' JEWELLERS LIMITED,MVGJL,Manoj Vaibhav Gems N Jewellers Ltd,Active,B ,10.00,INE0KNT01012,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
543996,Updater Services Limited,UDS,Updater Services Ltd,Active,B ,10.00,INE851I01011,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
543998,Valiant Laboratories Limited,VALIANTLAB,Valiant Laboratories Ltd,Active,B ,10.00,INE0JWS01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
544003,Plaza Wires Limited,PLAZACABLE,Plaza Wires Ltd,Active,B ,10.00,INE0INJ01017,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
544004,IRM ENERGY LIMITED,IRMENERGY,IRM Energy Ltd,Active,B ,10.00,INE07U701015,LPG/CNG/PNG/LNG Supplier,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
544006,Mirae Asset Mutual Fund,ITETF,Mirae Asset Nifty IT ETF,Active,B ,10.00,INF769K01KV5, ,Equity,-,-,-,-
544007,Mirae Asset Mutual Fund,ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,Active,B ,10.00,INF769K01KU7, ,Equity,-,-,-,-
544008,Max Estates Limited,MAXESTATES,Max Estates Ltd,Active,B ,10.00,INE03EI01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
544009,Blue Jet Healthcare Limited,BLUEJET,Blue Jet Healthcare Ltd,Active,B ,2.00,INE0KBH01020,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
544012,Cello World Limited,CELLO,Cello World Ltd,Active,B ,5.00,INE0LMW01024,Houseware,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware
544014,Honasa Consumer Limited,HONASA,Honasa Consumer Ltd,Active,B ,10.00,INE0J5401028,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
544020,ESAF Small Finance Bank Ltd,ESAFSFB,ESAF Small Finance Bank Ltd,Active,B ,10.00,INE818W01011,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank
544021,Protean eGov Technologies Limited,PROTEAN,Protean eGov Technologies Ltd,Active,B ,10.00,INE004A01022,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
544022,ASK Automotive Limited,ASKAUTOLTD,ASK Automotive Ltd,Active,B ,2.00,INE491J01022,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
544026,Indian Renewable Energy Development Agency Limited,IREDA,Indian Renewable Energy Development Agency Ltd,Active,B ,10.00,INE202E01016,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution
544027,Fedbank Financial Services Limited,FEDFINA,Fedbank Financial Services Ltd,Active,B ,10.00,INE007N01010,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
544028,Tata Technologies Limited,TATATECH,Tata Technologies Ltd,Active,B ,2.00,INE142M01025,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
544029,Gandhar Oil Refinery (India) Limited,GANDHAR,Gandhar Oil Refinery (India) Ltd,Active,B ,2.00,INE717W01049,Lubricants,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
544030,Flair Writing Industries Limited,FLAIR,Flair Writing Industries Ltd,Active,B ,5.00,INE00Y201027,Stationary,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
544042,Bajel Projects Limited,BAJEL,Bajel Projects Ltd,Active,B ,2.00,INE0KQN01018,Integrated Power Utilities,Equity,Utilities,Power,Power,Integrated Power Utilities
544044,India Shelter Finance Corporation Limited,INDIASHLTR,India Shelter Finance Corporation Ltd,Active,B ,5.00,INE922K01024,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
544045,DOMS Industries Limited,DOMS,DOMS Industries Ltd,Active,B ,10.00,INE321T01012,Stationary,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
544046,INOX India Limited,INOXINDIA,INOX India Ltd,Active,B ,2.00,INE616N01034,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
544053,Motisons Jewellers Limited,MOTISONS,Motisons Jewellers Ltd,Active,B ,10.00,INE0FRK01012,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
544055,Muthoot Microfin Limited,MUTHOOTMF,Muthoot Microfin Ltd,Active,B ,10.00,INE046W01019,Microfinance Institutions,Equity,Financial Services,Financial Services,Finance,Microfinance Institutions
544057,Happy Forgings Limited,HAPPYFORGE,Happy Forgings Ltd,Active,B ,2.00,INE330T01021,Castings & Forgings,Equity,Industrials,Capital Goods,Industrial Products,Castings & Forgings
544058,Credo Brands Marketing Limited,MUFTI,Credo Brands Marketing Ltd,Active,B ,2.00,INE220Q01020,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
544061,Azad Engineering Limited,AZAD,Azad Engineering Ltd,Active,B ,2.00,INE02IJ01035,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
544066,SUNDARAM-CLAYTON LIMITED,SUNCLAY,Sundaram-Clayton Ltd,Active,B ,5.00,INE0Q3R01026,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
